img_url,s1,s2,s3,s4,s5
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_004930.jpg, A close-up of a television monitor with a man on t.v., A walled television screen shows an image of a dark-haired man in a white suit and brown tie., photo of a television screen showing a movie , There is a picture of a man on the television., The wall-mounted flat-screen TV is showing a movie.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005008.jpg, A home office set up complete with a can of soda!, An Apple computer is sitting on a desk next to a can and another computer., Computer desk with computer monitor and soda can sitting in front of keyboard., Desk with computer keyboard and monitor., Two computers at a workstation.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005094.jpg, A man laying on a bed with beer cans on a nearby table., A man lies in a bed in a cluttered room., a middle-aged man relaxes after drinking a few beers , A person in a blue shirt reclines near a coffee table and television., Young man in blue shirt lying down on couch.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005231.jpg, A guy playing a giant intent in a game store with a blue wall., A man bending over playing a video game on a large screen on the wall., A man playing a video game in a store., A man playing Super Mario Brothers with a giant Nentendo controller., Man playing game in a store.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005254.jpg, A blank screen with two remotes on the table., A flat screen television on a table with two remote controls., A Philips flat-screen TV is shown with its two remote controls., A Phillips flat screen TV with two remote controls , Flat screen television with two remote controls sitting in front.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005329.jpg, a desk in a corner of a room with a computer and a laptop , A desk with a laptop and a desktop computer along with a desk lamp., A home office set up is sparse., A small wooden computer desk with a laptop and desktop computer., Wooden computer desk with desktop and laptop.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005625.jpg, A group of people with a women holding a small child and a birthday cake., A woman holding a baby poses with two men and birthday decorations.," Two men, a woman, and a small child are celebrating a birthday.", Two men with a young lady holding a small child in front of a table holding a birthday cake., Woman holding baby and two men in front of birthday cake.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005639.jpg, A bookcase with entertainment center and TV.," A room with a television, stereo and bookshelf.", A television in a messy room with several bookcases., A view of an entertainment system and a bookshelf., A wall with a TV and four bookcases.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005660.jpg, Duel monitors is now the norm in most home office set ups., There are two computer monitors sitting side by side., Two flat screen computer monitors next to each other., Two flat screen computer screens side by side., Two flat screen TVs showing underwater scenes.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_005817.jpg, A flat screen with all sorts of wires and electronics in front of it., A jumbo jumbo of technology paraphernalia., A lot of electronics is stacked on the floor near a mounted flat screen television., A room cluttered with boxes and wires has a flat-screen television on the wall., A storage room with electronics and a TV on the wall.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_006136.jpg, A computer and monitor on a desk , A computer operating on a desk , A messy desk with a computer , A typical college student's work station!, Very cluttered computer desk.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_006159.jpg, A comfortable entertainment center in an apartment., A living room TV on which someone is playing a video game.," A television is turned on, in a room with bookshelves.", A view of a living room with a television and shelves., Television sitting next to two shelves full of neck knacks.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_006624.jpg, A large T.V. rests in the center of the room against a brick wall.," A living room with a large television, blue chair, and other personal items."," A living room with a large TV, blue patterned chair and brick walls."," A television, upholstered chair, and coffee stable in a bright room.", Living room with TV and recliner.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_006887.jpg, A Mickey Mouse figurine is sitting next to a toy hippo., A Mickey Mouse toy , A small Mickey Mouse figurine on a desk next to a crazy white figurine., Trinkets sit on a desk for all to admire., Two plastic toys sitting on top of an office monitor.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_006948.jpg," A living room with a green sofa, table and TV."," Living room setting with wood floor, green chair, lamp on a table and a fireplace."," Living room with bay window, historian fireplace, hardwood floors, and a green couch."," Living room with TV, stereo equipment, green couch, and wooden floor.", Living room with wooden floor and green couch.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_007196.jpg, Several televisions are on the floor and stacked up on top of one another., There are three TV's and a TV box piled on the floor., This is an image of the back of some old televisions.," Three televisions, on on the floor, the other two on a box.", Two portable televisions on a brown rug. 
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_007282.jpg, A cozy wood-paneled living room with a wood burning stove welcomes you., A living room with paneling has a red loveseat and a black heating stove., An empty room with three paintings of animals on the wall., A wooden paneled living room with a sofa and black stove., Den with a soft and coal heater.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_007332.jpg," A close-up of a computer sitting on a desk with a modem, keyboard, and large speakers.", A desktop computer system and loudspeaker., A desk with a computer and speaker on top., Keyboard and speaker., This is an image of someone's computer next to scissors and a soft drink on a desk.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_007446.jpg, A man in a Ninja Turtles t-shirt repairs televisions., A man in a workshop looking at the back of two TV sets., a man with sideburns looking at backs of white TVs , A young man with long hair and sideburns in a Ninja Turtles shirt stands behind a row of computer monitors., Guy standing behind two computer monitors.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_007916.jpg, A darkened desk with a desktop PC and a lamp., a desk lamp is turned on and showing a desktop computer , A faint glow from a lamp shows a desktop computer., Computer lit by a lamp., Laptop on a desk with a lamp 
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_007987.jpg, A computer desk displays elvis memorabilia., A computer desk with various Elvis Presley paraphernalia on it., A display of Elvis memorabilia sits in the apartment., Elvis books are displayed on a computer desk., Some pictures of Elvis on a shelf below a computer monitor.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_008269.jpg, a computer on the floor , A Macintosh computer sitting on the floor., An Apple computer sitting on the floor., A white Apple computer sits on the beige carpeting of a bedroom., Computer keyboard and a monitor with Apple logo.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_008439.jpg," A hotel room with a scenic view contains a modern wooden desk, a flatscreen TV, and simple yet well-designed furniture.", Apartment room overlooking the city.," A room with a chair and a tv screen, as well as a desk and desk chair.", A very neat and empty room., Hotel room overlooking city.
https://vision.cs.uiuc.edu/pascal-sentences/tvmonitor/2008_008524.jpg, A group of people in a living room.," A group of people, most likely a family siting in a living room.", A group of people posing for a picture in a living room., A large gathering of people crowd into this small living room for a photo-op.," This room is full of people sitting on the sofa, standing, and sitting on the floor."
